iter	Passed	Remaining
0	110	110816
1	111	55805
2	112	37443
3	113	28234
4	114	22686
5	114	18985
6	115	16341
7	115	14357
8	116	12815
9	116	11580
10	117	10569
11	118	9728
12	118	9023
13	119	8420
14	120	7898
15	120	7440
16	121	7036
17	122	6684
18	123	6363
19	123	6071
20	124	5804
21	125	5561
22	125	5340
23	126	5135
24	126	4948
25	127	4774
26	128	4614
27	128	4464
28	129	4325
29	129	4196
30	130	4074
31	130	3961
32	131	3855
33	132	3755
34	132	3660
35	133	3570
36	133	3485
37	134	3405
38	135	3329
39	135	3256
40	137	3225
41	138	3165
42	139	3104
43	140	3043
44	140	2985
45	141	2930
46	141	2877
47	142	2826
48	143	2777
49	143	2730
50	144	2685
51	144	2641
52	145	2600
53	146	2559
54	146	2520
55	147	2483
56	147	2446
57	148	2411
58	149	2377
59	149	2344
60	150	2313
61	151	2293
62	152	2273
63	153	2250
64	154	2224
65	155	2202
66	156	2177
67	157	2154
68	158	2137
69	159	2116
70	160	2093
71	160	2071
72	161	2050
73	162	2027
74	162	2005
75	163	1984
76	163	1963
77	164	1943
78	164	1923
79	165	1906
80	166	1888
81	167	1871
82	167	1851
83	168	1834
84	168	1818
85	169	1802
86	170	1785
87	170	1769
88	171	1754
89	172	1740
90	172	1726
91	173	1712
92	174	1697
93	174	1683
94	175	1669
95	175	1656
96	176	1642
97	177	1629
98	177	1616
99	178	1604
100	178	1591
101	179	1581
102	180	1571
103	181	1561
104	181	1550
105	182	1539
106	183	1528
107	183	1517
108	184	1506
109	184	1496
110	185	1485
111	186	1475
112	186	1465
113	187	1455
114	187	1445
115	188	1436
116	188	1425
117	189	1416
118	190	1407
119	190	1398
120	191	1389
121	191	1380
122	192	1371
123	193	1363
124	193	1355
125	194	1348
126	195	1340
127	195	1333
128	196	1326
129	197	1319
130	197	1311
131	198	1303
132	198	1296
133	199	1289
134	200	1281
135	200	1274
136	201	1267
137	201	1260
138	202	1254
139	203	1247
140	203	1240
141	204	1232
142	204	1226
143	205	1220
144	205	1213
145	206	1207
146	207	1201
147	207	1194
148	208	1188
149	209	1185
150	210	1184
151	211	1179
152	211	1173
153	212	1167
154	213	1161
155	213	1156
156	214	1150
157	214	1145
158	215	1139
159	216	1134
160	216	1128
161	217	1123
162	217	1117
163	218	1112
164	218	1107
165	219	1102
166	220	1097
167	220	1093
168	221	1088
169	221	1083
170	222	1078
171	223	1074
172	224	1071
173	224	1067
174	225	1063
175	226	1059
176	226	1054
177	227	1050
178	228	1046
179	228	1041
180	229	1037
181	229	1033
182	230	1029
183	231	1024
184	231	1020
185	232	1016
186	232	1012
187	233	1008
188	234	1004
189	234	1000
190	235	996
191	235	992
192	236	988
193	237	985
194	237	981
195	238	978
196	239	975
197	240	972
198	240	969
199	241	965
200	241	961
201	242	958
202	243	954
203	243	951
204	244	947
205	244	944
206	245	940
207	246	937
208	246	933
209	247	930
210	247	927
211	248	923
212	249	920
213	249	917
214	250	914
215	250	911
216	251	907
217	252	904
218	253	902
219	253	900
220	254	897
221	255	894
222	255	891
223	256	888
224	257	885
225	257	882
226	258	879
227	258	876
228	259	873
229	260	871
230	260	868
231	261	865
232	261	862
233	262	859
234	263	856
235	263	853
236	264	851
237	264	848
238	265	845
239	266	842
240	266	839
241	267	837
242	268	835
243	269	833
244	269	831
245	270	828
246	271	826
247	271	823
248	272	821
249	272	818
250	273	816
251	274	814
252	274	811
253	275	809
254	276	806
255	276	804
256	277	801
257	278	799
258	278	797
259	279	794
260	279	792
261	280	789
262	281	787
263	281	785
264	282	783
265	283	781
266	283	779
267	284	777
268	285	774
269	285	772
270	286	770
271	286	767
272	287	765
273	288	763
274	288	761
275	289	758
276	289	756
277	290	754
278	291	752
279	291	750
280	292	748
281	292	745
282	293	743
283	294	741
284	294	739
285	295	737
286	295	735
287	296	733
288	297	732
289	298	730
290	299	728
291	299	726
292	300	724
293	300	722
294	301	720
295	302	718
296	302	716
297	303	714
298	303	712
299	304	710
300	305	708
301	305	706
302	306	704
303	306	702
304	307	700
305	308	698
306	308	696
307	309	694
308	309	693
309	310	691
310	311	689
311	312	688
312	312	686
313	313	685
314	314	683
315	314	681
316	315	679
317	316	677
318	316	675
319	317	674
320	317	672
321	318	670
322	318	668
323	319	666
324	320	665
325	320	663
326	321	661
327	322	659
328	322	657
329	323	656
330	323	654
331	324	652
332	324	650
333	325	649
334	326	648
335	327	646
336	327	645
337	328	643
338	329	641
339	329	640
340	330	638
341	330	636
342	331	635
343	332	633
344	332	631
345	333	630
346	333	628
347	334	626
348	335	625
349	335	623
350	336	621
351	336	620
352	337	618
353	338	616
354	338	615
355	339	613
356	339	612
357	340	611
358	341	610
359	342	608
360	343	607
361	343	605
362	344	604
363	344	602
364	345	601
365	346	599
366	346	597
367	347	596
368	347	594
369	348	593
370	349	591
371	349	590
372	350	588
373	350	587
374	351	585
375	352	584
376	352	582
377	353	581
378	353	579
379	354	578
380	355	577
381	356	576
382	357	575
383	357	574
384	358	572
385	359	571
386	360	570
387	360	569
388	361	567
389	362	566
390	362	565
391	363	563
392	364	562
393	364	561
394	365	559
395	366	558
396	366	556
397	367	555
398	367	554
399	368	552
400	369	551
401	369	549
402	370	548
403	371	547
404	371	546
405	372	545
406	373	543
407	373	542
408	374	540
409	374	539
410	375	538
411	376	536
412	376	535
413	377	533
414	377	532
415	378	531
416	379	529
417	379	528
418	380	527
419	380	525
420	381	524
421	382	523
422	382	521
423	383	520
424	383	519
425	384	518
426	385	517
427	386	516
428	387	515
429	388	514
430	389	513
431	389	512
432	390	511
433	391	510
434	392	509
435	393	508
436	393	507
437	394	506
438	395	504
439	395	503
440	396	502
441	396	501
442	397	499
443	398	498
444	398	497
445	399	496
446	400	495
447	401	494
448	401	493
449	402	491
450	402	490
451	403	489
452	404	487
453	404	486
454	405	485
455	405	484
456	406	483
457	407	481
458	407	480
459	408	479
460	408	478
461	409	476
462	410	475
463	410	474
464	411	473
465	412	472
466	412	470
467	413	469
468	414	468
469	414	467
470	415	466
471	416	465
472	416	464
473	417	463
474	417	461
